entity,pos,neg,neu,pos_proportion,neg_proportion
malindo air,15,20,1545,0.42857142857142855,0.5714285714285714
customer service,11,22,720,0.3333333333333333,0.6666666666666666
airport,1,5,265,0.16666666666666666,0.8333333333333334
flight,2,11,558,0.15384615384615385,0.8461538461538461
service,0,2,110,0.0,1.0
book,2,2,91,0.5,0.5
baggage,3,3,217,0.5,0.5
departure,1,2,69,0.3333333333333333,0.6666666666666666
price,1,1,37,0.5,0.5
